Planetary Mass (M_Earth),Planetary Mass (kg),Rayleigh Number,log10_Ra,above_Ra_crit,above_Ra_robust
0.05,2.9860000000000002e+23,428217.3587132469,5.631664268377787,True,False
0.15025125628140704,8.973005025125629e+23,2810506.100664382,6.448784532337372,True,True
0.2505025125628141,1.4960010050251257e+24,6735878.244973426,6.8283942284301204,True,True
0.3507537688442211,2.0947015075376885e+24,11977869.386726713,7.078379572988203,True,True
0.4510050251256281,2.6934020100502513e+24,18410929.80585728,7.265075722200707,True,True
0.5512562814070352,3.2921025125628144e+24,25950165.589736216,7.414140133455353,True,True
0.6515075376884423,3.8908030150753775e+24,34532483.37432824,7.5382278113927805,True,True
0.7517587939698492,4.48950351758794e+24,44108249.776622914,7.644519825236234,True,True
0.8520100502512563,5.088204020100503e+24,54636897.22691699,7.737486028237717,True,True
0.9522613065326634,5.686904522613066e+24,66084339.970883414,7.820098556762593,True,True
1.0525125628140704,6.285605025125629e+24,78421333.68663584,7.894434223934875,True,True
1.1527638190954774,6.884305527638192e+24,91622373.37522964,7.962001537499173,True,True
1.2530150753768845,7.483006030150755e+24,105664919.70947754,8.02393082737059,True,True
1.3532663316582916,8.081706532663318e+24,120528836.618216,8.08109096463628,True,True
1.4535175879396984,8.68040703517588e+24,136195970.57155216,8.134164258939274,True,True
1.5537688442211055,9.279107537688443e+24,152649828.2760029,8.183696320073748,True,True
1.6540201005025126,9.877808040201005e+24,169875324.72818214,8.230130299924644,True,True
1.7542713567839197,1.047650854271357e+25,187858582.82923877,8.273831041774843,True,True
1.8545226130653267,1.107520904522613e+25,206586771.59660792,8.31510250882673,True,True
1.9547738693467336,1.1673909547738693e+25,226047973.80877796,8.354200618569557,True,True
2.0550251256281404,1.2272610050251255e+25,246231076.4627527,8.39134286372356,True,True
2.1552763819095477,1.287131055276382e+25,267125679.1695995,8.426715639371412,True,True
2.2555276381909546,1.3470011055276381e+25,288722016.837553,8.46047990278088,True,True
2.3557788944723614,1.4068711557788943e+25,311010893.8671461,8.492775601449756,True,True
2.4560301507537687,1.4667412060301507e+25,333983627.7191687,8.523725177693306,True,True
2.5562814070351756,1.526611256281407e+25,357632000.18625593,8.553436371652213,True,True
2.656532663316583,1.5864813065326633e+25,381948215.05098903,8.582004484790934,True,True
2.7567839195979897,1.6463513567839195e+25,406924861.08051205,8.60951422389175,True,True
2.8570351758793966,1.7062214070351757e+25,432554879.51275504,8.63604121551773,True,True
2.957286432160804,1.7660914572864322e+25,458831535.34847033,8.661653259179463,True,True
3.0575376884422107,1.8259615075376884e+25,485748391.88800657,8.686411371504818,True,True
3.157788944723618,1.8858315577889448e+25,513299288.0503812,8.710370661891767,True,True
3.258040201005025,1.945701608040201e+25,541478318.0908797,8.733581071262336,True,True
3.3582914572864317,2.005571658291457e+25,570279813.3966773,8.756087998824112,True,True
3.458542713567839,2.0654417085427136e+25,599698326.0911881,8.777932836614376,True,True
3.558793969849246,2.1253117587939698e+25,629728614.219639,8.799153427644375,True,True
3.659045226130653,2.1851818090452264e+25,660365628.3226514,8.819784460383788,True,True
3.75929648241206,2.245051859296482e+25,691604499.2329168,8.839857809913731,True,True
3.859547738693467,2.3049219095477384e+25,723440526.9535772,8.859402834173052,True,True
3.959798994974874,2.364791959798995e+25,755869170.4965438,8.878446632209737,True,True
4.060050251256281,2.424662010050251e+25,788886038.5754606,8.897014270139092,True,True
4.160301507537688,2.4845320603015074e+25,822486881.0619121,8.91512897953647,True,True
4.260552763819096,2.544402110552764e+25,856667581.1252307,8.932812332203962,True,True
4.3608040201005025,2.6042721608040202e+25,891424147.9862616,8.950084394608957,True,True
4.461055276381909,2.6641422110552764e+25,926752710.2240127,8.966963864767544,True,True
4.561306532663316,2.7240122613065326e+25,962649509.581404,8.98346819391424,True,True
4.661557788944723,2.783882311557789e+25,999110895.2226698,8.999613694943076,True,True
4.761809045226131,2.8437523618090455e+25,1036133318.4003948,9.01541563930934,True,True
4.862060301507538,2.9036224120603017e+25,1073713327.4948869,9.030888343834789,True,True
4.9623115577889445,2.963492462311558e+25,1111847563.3926935,9.046045248653028,True,True
5.062562814070351,3.023362512562814e+25,1150532755.17464,9.060898987358511,True,True
5.162814070351758,3.0832325628140703e+25,1189765716.0868871,9.075461450276622,True,True
5.263065326633166,3.143102613065327e+25,1229543339.7712712,9.089743841648772,True,True
5.363316582914573,3.202972663316583e+25,1269862596.7335753,9.103756731421532,True,True
5.46356783919598,3.2628427135678393e+25,1310720531.0305178,9.117510102239505,True,True
5.5638190954773865,3.3227127638190955e+25,1352114257.158125,9.131013392165285,True,True
5.664070351758793,3.3825828140703517e+25,1394040957.1258035,9.144275533584393,True,True
5.764321608040201,3.4424528643216083e+25,1436497877.7019393,9.157304988696906,True,True
5.864572864321608,3.5023229145728645e+25,1479482327.8181121,9.17010978194889,True,True
5.964824120603015,3.5621929648241207e+25,1522991676.1202407,9.182697529714948,True,True
6.065075376884422,3.622063015075377e+25,1567023348.6559896,9.195075467506824,True,True
6.1653266331658285,3.681933065326633e+25,1611574826.6887221,9.207250474951408,True,True
6.265577889447236,3.7418031155778897e+25,1656643644.6290867,9.219229098754099,True,True
6.365829145728643,3.801673165829146e+25,1702227388.0761633,9.231017573839383,True,True
6.46608040201005,3.861543216080402e+25,1748323691.960689,9.242621842839572,True,True
6.566331658291457,3.921413266331658e+25,1794930238.7835367,9.254047574084193,True,True
6.666582914572864,3.9812833165829145e+25,1842044756.9431863,9.265300178226362,True,True
6.766834170854271,4.041153366834171e+25,1889665019.1463957,9.276384823628192,True,True
6.867085427135678,4.101023417085427e+25,1937788840.8967817,9.287306450614814,True,True
6.967336683417085,4.1608934673366836e+25,1986414079.0563757,9.298069784695333,True,True
7.067587939698492,4.220763517587939e+25,2035538630.4756372,9.308679348839322,True,True
7.167839195979899,4.280633567839196e+25,2085160430.6877456,9.319139474888678,True,True
7.268090452261307,4.340503618090453e+25,2135277452.6632795,9.329454314176886,True,True
7.368341708542713,4.400373668341708e+25,2185887705.621699,9.33962784742086,True,True
7.46859296482412,4.460243718592965e+25,2236989233.8962994,9.349663893944337,True,True
7.568844221105527,4.520113768844221e+25,2288580115.849538,9.359566120286303,True,True
7.669095477386934,4.579983819095477e+25,2340658462.8358574,9.369338048243039,True,True
7.769346733668342,4.639853869346734e+25,2393222418.2093334,9.37898306238788,True,True
7.869597989949749,4.69972391959799e+25,2446270156.3736544,9.388504417108894,True,True
7.969849246231155,4.759593969849246e+25,2499799881.8720937,9.397905243201107,True,True
8.070100502512563,4.819464020100503e+25,2553809828.515331,9.407188554046655,True,True
8.17035175879397,4.879334070351759e+25,2608298258.545071,9.416357251413425,True,True
8.270603015075377,4.9392041206030154e+25,2663263461.8315954,9.425414130900075,True,True
8.370854271356784,4.999074170854271e+25,2718703755.1034346,9.434361887053027,True,True
8.471105527638192,5.058944221105529e+25,2774617481.207556,9.443203118178836,True,True
8.5713567839196,5.118814271356785e+25,2831003008.398447,9.451940330873457,True,True
8.671608040201006,5.178684321608041e+25,2887858729.6547084,9.460575944288168,True,True
8.771859296482413,5.238554371859297e+25,2945183062.0217233,9.469112294150293,True,True
8.87211055276382,5.2984244221105535e+25,3002974445.9791665,9.477551636555472,True,True
8.972361809045227,5.358294472361809e+25,3061231344.8321114,9.485896151546847,True,True
9.072613065326633,5.418164522613066e+25,3119952244.124608,9.494147946495401,True,True
9.17286432160804,5.478034572864322e+25,3179135651.074692,9.50230905929455,True,True
9.273115577889447,5.537904623115578e+25,3238780094.0297575,9.510381461381096,True,True
9.373366834170854,5.597774673366834e+25,3298884121.941408,9.518367060593757,True,True
9.473618090452263,5.6576447236180916e+25,3359446303.858828,9.526267703879638,True,True
9.57386934673367,5.717514773869347e+25,3420465228.439891,9.534085179858232,True,True
9.674120603015076,5.777384824120604e+25,3481939503.479155,9.5418212212519,True,True
9.774371859296483,5.83725487437186e+25,3543867755.452024,9.54947750719102,True,True
9.87462311557789,5.897124924623116e+25,3606248629.074335,9.557055665401556,True,True
9.974874371859297,5.956994974874372e+25,3669080786.876726,9.564557274282116,True,True
10.075125628140704,6.016865025125629e+25,3732362908.7931285,9.57198386487715,True,True
10.17537688442211,6.0767350753768845e+25,3796093691.7627473,9.579336922752468,True,True
10.275628140703517,6.136605125628141e+25,3860271849.3450456,9.586617889778813,True,True
10.375879396984924,6.196475175879397e+25,3924896111.3470902,9.593828165828837,True,True
10.476130653266333,6.256345226130654e+25,3989965223.462793,9.600969110392505,True,True
10.57638190954774,6.31621527638191e+25,4055477946.923556,9.608042044115557,True,True
10.676633165829147,6.376085326633167e+25,4121433058.1598477,9.615048250265398,True,True
10.776884422110554,6.435955376884423e+25,4187829348.47327,9.621988976128486,True,True
10.87713567839196,6.495825427135679e+25,4254665623.7186875,9.628865434343034,True,True
10.977386934673367,6.555695477386935e+25,4321940703.996041,9.635678804170551,True,True
11.077638190954774,6.615565527638192e+25,4389653423.351453,9.642430232709609,True,True
11.177889447236181,6.675435577889447e+25,4457802629.487236,9.649120836054912,True,True
11.278140703517588,6.735305628140704e+25,4526387183.480509,9.655751700404632,True,True
11.378391959798995,6.79517567839196e+25,4595405959.510082,9.662323883118738,True,True
11.478643216080403,6.855045728643217e+25,4664857844.591251,9.668838413730908,True,True
11.57889447236181,6.914915778894473e+25,4734741738.318243,9.67529629491644,True,True
11.679145728643217,6.97478582914573e+25,4805056552.614051,9.681698503418444,True,True
11.779396984924624,7.0346558793969854e+25,4875801211.487324,9.688045990934448,True,True
11.87964824120603,7.094525929648242e+25,4946974650.796093,9.694339684965438,True,True
11.979899497487438,7.154395979899498e+25,5018575818.018084,9.700580489629218,True,True
12.080150753768844,7.2142660301507545e+25,5090603672.02737,9.70676928643988,True,True
12.180402010050251,7.27413608040201e+25,5163057182.877145,9.712906935055063,True,True
12.280653266331658,7.334006130653267e+25,5235935331.588387,9.718994273992593,True,True
12.380904522613065,7.393876180904523e+25,5309237109.944204,9.72503212131797,True,True
12.481155778894474,7.45374623115578e+25,5382961520.289728,9.731021275304158,True,True
12.58140703517588,7.513616281407036e+25,5457107575.337234,9.73696251506496,True,True
12.681658291457287,7.5734863316582925e+25,5531674297.976441,9.742856601163274,True,True
12.781909547738694,7.633356381909548e+25,5606660721.089765,9.748704276195392,True,True
12.882160804020101,7.693226432160805e+25,5682065887.372278,9.754506265352475,True,True
12.982412060301508,7.753096482412062e+25,5757888849.156393,9.760263276960272,True,True
13.082663316582915,7.812966532663316e+25,5834128668.240942,9.76597600299806,True,True
13.182914572864322,7.872836582914573e+25,5910784415.724601,9.771645119597812,True,True
13.283165829145728,7.93270663316583e+25,5987855171.843493,9.777271287524414,True,True
13.383417085427137,7.992576683417086e+25,6065340025.812825,9.782855152637856,True,True
13.483668341708544,8.052446733668343e+25,6143238075.672465,9.788397346338172,True,True
13.58391959798995,8.1123167839196e+25,6221548428.136268,9.793898485993894,True,True
13.684170854271358,8.172186834170855e+25,6300270198.44509,9.799359175354756,True,True
13.784422110552764,8.232056884422111e+25,6379402510.223384,9.804780004949336,True,True
13.884673366834171,8.291926934673368e+25,6458944495.339163,9.810161552468294,True,True
13.984924623115578,8.351796984924624e+25,6538895293.767377,9.815504383133812,True,True
14.085175879396985,8.41166703517588e+25,6619254053.456464,9.820809050055852,True,True
14.185427135678392,8.471537085427136e+25,6700019930.19807,9.826076094575777,True,True
14.285678391959799,8.531407135678393e+25,6781192087.499777,9.83130604659787,True,True
14.385929648241207,8.59127718592965e+25,6862769696.460803,9.836499424909254,True,True
14.486180904522614,8.651147236180906e+25,6944751935.650541,9.841656737488725,True,True
14.586432160804021,8.711017286432162e+25,7027137990.989886,9.846778481804908,True,True
14.686683417085428,8.770887336683417e+25,7109927055.635217,9.851865145104222,True,True
14.786934673366835,8.830757386934674e+25,7193118329.865063,9.856917204689045,True,True
14.887185929648242,8.89062743718593e+25,7276711020.969201,9.861935128186472,True,True
14.987437185929648,8.950497487437187e+25,7360704343.140317,9.866919373808066,True,True
15.087688442211055,9.010367537688442e+25,7445097517.367992,9.871870390600948,True,True
15.187939698492462,9.070237587939699e+25,7529889771.33505,9.876788618690565,True,True
15.288190954773869,9.130107638190955e+25,7615080339.316098,9.881674489515477,True,True
15.388442211055278,9.189977688442212e+25,7700668462.078373,9.886528426054479,True,True
15.488693467336685,9.249847738693469e+25,7786653386.784605,9.89135084304633,True,True
15.588944723618091,9.309717788944725e+25,7873034366.898017,9.896142147202415,True,True
15.689195979899498,9.36958783919598e+25,7959810662.089322,9.90090273741257,True,True
15.789447236180905,9.429457889447237e+25,8046981538.145674,9.90563300494437,True,True
15.889698492462312,9.489327939698493e+25,8134546266.881554,9.9103333336361,True,True
15.989949748743719,9.54919798994975e+25,8222504126.051463,9.91500410008366,True,True
16.090201005025126,9.609068040201005e+25,8310854399.264464,9.919645673821625,True,True
16.190452261306532,9.668938090452262e+25,8399596375.900447,9.924258417498695,True,True
16.29070351758794,9.728808140703518e+25,8488729351.028128,9.928842687047712,True,True
16.390954773869346,9.788678190954775e+25,8578252625.324701,9.933398831850475,True,True
16.491206030150753,9.84854824120603e+25,8668165504.997116,9.937927194897524,True,True
16.59145728643216,9.908418291457286e+25,8758467301.704899,9.942428112943078,True,True
16.691708542713567,9.968288341708543e+25,8849157332.484598,9.946901916655323,True,True
16.791959798994974,1.0028158391959798e+26,8940234919.675606,9.951348930762178,True,True
16.892211055276384,1.0088028442211056e+26,9031699390.847572,9.955769474192738,True,True
16.99246231155779,1.0147898492462313e+26,9123550078.729076,9.960163860214525,True,True
17.092713567839198,1.020776854271357e+26,9215786321.137873,9.964532396566709,True,True
17.192964824120605,1.0267638592964826e+26,9308407460.912369,9.968875385589419,True,True
17.29321608040201,1.0327508643216081e+26,9401412845.844395,9.973193124349315,True,True
17.39346733668342,1.0387378693467338e+26,9494801828.61335,9.97748590476152,True,True
17.493718592964825,1.0447248743718594e+26,9588573766.721586,9.981754013708043,True,True
17.593969849246232,1.0507118793969851e+26,9682728022.430906,9.985997733152821,True,True
17.69422110552764,1.0566988844221106e+26,9777263962.700386,9.99021734025351,True,True
17.794472361809046,1.0626858894472363e+26,9872180959.125309,9.994413107470091,True,True
17.894723618090453,1.068672894472362e+26,9967478387.877224,9.99858530267044,True,True
17.99497487437186,1.0746598994974876e+26,10063155629.645075,10.002734189232951,True,True
18.095226130653266,1.080646904522613e+26,10159212069.577518,10.006860026146303,True,True
18.195477386934673,1.0866339095477387e+26,10255647097.226183,10.010963068106467,True,True
18.29572864321608,1.0926209145728644e+26,10352460106.490028,10.01504356561106,True,True
18.395979899497487,1.0986079195979899e+26,10449650495.56069,10.019101765051115,True,True
18.496231155778894,1.1045949246231156e+26,10547217666.868782,10.023137908800347,True,True
18.5964824120603,1.1105819296482412e+26,10645161027.031208,10.027152235302022,True,True
18.696733668341707,1.1165689346733669e+26,10743479986.799349,10.031144979153485,True,True
18.796984924623114,1.1225559396984924e+26,10842173961.008213,10.035116371188426,True,True
18.897236180904525,1.1285429447236182e+26,10941242368.526503,10.03906663855696,True,True
18.99748743718593,1.1345299497487439e+26,11040684632.20744,10.042996004803584,True,True
19.09773869346734,1.1405169547738695e+26,11140500178.840584,10.04690468994309,True,True
19.197989949748745,1.1465039597989952e+26,11240688439.104403,10.05079291053449,True,True
19.298241206030152,1.1524909648241207e+26,11341248847.519693,10.054660879753,True,True
19.39849246231156,1.1584779698492463e+26,11442180842.403753,10.058508807460186,True,True
19.498743718592966,1.164464974874372e+26,11543483865.825415,10.062336900272282,True,True
19.598994974874373,1.1704519798994977e+26,11645157363.560759,10.06614536162676,True,True
19.69924623115578,1.1764389849246232e+26,11747200785.049625,10.069934391847209,True,True
19.799497487437186,1.1824259899497488e+26,11849613583.35282,10.073704188206557,True,True
19.899748743718593,1.1884129949748745e+26,11952395215.110058,10.077454944988704,True,True
20.0,1.1944000000000002e+26,12055545140.498652,10.081186853548603,True,True
