M_planet (M_Earth),M_planet (kg),Pressure (bar),Num Stages
5.000000e-01,2.986000e+24,1.000000e-01,2
5.000000e-01,2.986000e+24,1.172102e-01,2
5.000000e-01,2.986000e+24,1.373824e-01,2
5.000000e-01,2.986000e+24,1.610262e-01,2
5.000000e-01,2.986000e+24,1.887392e-01,2
5.000000e-01,2.986000e+24,2.212216e-01,2
5.000000e-01,2.986000e+24,2.592944e-01,2
5.000000e-01,2.986000e+24,3.039195e-01,2
5.000000e-01,2.986000e+24,3.562248e-01,2
5.000000e-01,2.986000e+24,4.175319e-01,2
5.000000e-01,2.986000e+24,4.893901e-01,2
5.000000e-01,2.986000e+24,5.736153e-01,2
5.000000e-01,2.986000e+24,6.723358e-01,2
5.000000e-01,2.986000e+24,7.880463e-01,2
5.000000e-01,2.986000e+24,9.236709e-01,2
5.000000e-01,2.986000e+24,1.000000e+00,2
5.000000e-01,2.986000e+24,1.082637e+00,2
5.000000e-01,2.986000e+24,1.268961e+00,2
5.000000e-01,2.986000e+24,1.487352e+00,2
5.000000e-01,2.986000e+24,1.743329e+00,2
5.000000e-01,2.986000e+24,2.043360e+00,2
5.000000e-01,2.986000e+24,2.395027e+00,2
5.000000e-01,2.986000e+24,2.807216e+00,2
5.000000e-01,2.986000e+24,3.290345e+00,2
5.000000e-01,2.986000e+24,3.856620e+00,2
5.000000e-01,2.986000e+24,4.520354e+00,2
5.000000e-01,2.986000e+24,5.298317e+00,2
5.000000e-01,2.986000e+24,6.210169e+00,2
5.000000e-01,2.986000e+24,7.278954e+00,2
5.000000e-01,2.986000e+24,8.531679e+00,2
5.000000e-01,2.986000e+24,1.000000e+01,2
5.390948e-01,3.219474e+24,1.000000e-01,2
5.390948e-01,3.219474e+24,1.172102e-01,2
5.390948e-01,3.219474e+24,1.373824e-01,2
5.390948e-01,3.219474e+24,1.610262e-01,2
5.390948e-01,3.219474e+24,1.887392e-01,2
5.390948e-01,3.219474e+24,2.212216e-01,2
5.390948e-01,3.219474e+24,2.592944e-01,2
5.390948e-01,3.219474e+24,3.039195e-01,2
5.390948e-01,3.219474e+24,3.562248e-01,2
5.390948e-01,3.219474e+24,4.175319e-01,2
5.390948e-01,3.219474e+24,4.893901e-01,2
5.390948e-01,3.219474e+24,5.736153e-01,2
5.390948e-01,3.219474e+24,6.723358e-01,2
5.390948e-01,3.219474e+24,7.880463e-01,2
5.390948e-01,3.219474e+24,9.236709e-01,2
5.390948e-01,3.219474e+24,1.000000e+00,2
5.390948e-01,3.219474e+24,1.082637e+00,2
5.390948e-01,3.219474e+24,1.268961e+00,2
5.390948e-01,3.219474e+24,1.487352e+00,2
5.390948e-01,3.219474e+24,1.743329e+00,2
5.390948e-01,3.219474e+24,2.043360e+00,2
5.390948e-01,3.219474e+24,2.395027e+00,2
5.390948e-01,3.219474e+24,2.807216e+00,2
5.390948e-01,3.219474e+24,3.290345e+00,2
5.390948e-01,3.219474e+24,3.856620e+00,2
5.390948e-01,3.219474e+24,4.520354e+00,2
5.390948e-01,3.219474e+24,5.298317e+00,2
5.390948e-01,3.219474e+24,6.210169e+00,2
5.390948e-01,3.219474e+24,7.278954e+00,2
5.390948e-01,3.219474e+24,8.531679e+00,2
5.390948e-01,3.219474e+24,1.000000e+01,2
5.812463e-01,3.471203e+24,1.000000e-01,2
5.812463e-01,3.471203e+24,1.172102e-01,2
5.812463e-01,3.471203e+24,1.373824e-01,2
5.812463e-01,3.471203e+24,1.610262e-01,2
5.812463e-01,3.471203e+24,1.887392e-01,2
5.812463e-01,3.471203e+24,2.212216e-01,2
5.812463e-01,3.471203e+24,2.592944e-01,2
5.812463e-01,3.471203e+24,3.039195e-01,2
5.812463e-01,3.471203e+24,3.562248e-01,2
5.812463e-01,3.471203e+24,4.175319e-01,2
5.812463e-01,3.471203e+24,4.893901e-01,2
5.812463e-01,3.471203e+24,5.736153e-01,2
5.812463e-01,3.471203e+24,6.723358e-01,2
5.812463e-01,3.471203e+24,7.880463e-01,2
5.812463e-01,3.471203e+24,9.236709e-01,2
5.812463e-01,3.471203e+24,1.000000e+00,2
5.812463e-01,3.471203e+24,1.082637e+00,2
5.812463e-01,3.471203e+24,1.268961e+00,2
5.812463e-01,3.471203e+24,1.487352e+00,2
5.812463e-01,3.471203e+24,1.743329e+00,2
5.812463e-01,3.471203e+24,2.043360e+00,2
5.812463e-01,3.471203e+24,2.395027e+00,2
5.812463e-01,3.471203e+24,2.807216e+00,2
5.812463e-01,3.471203e+24,3.290345e+00,2
5.812463e-01,3.471203e+24,3.856620e+00,2
5.812463e-01,3.471203e+24,4.520354e+00,2
5.812463e-01,3.471203e+24,5.298317e+00,2
5.812463e-01,3.471203e+24,6.210169e+00,2
5.812463e-01,3.471203e+24,7.278954e+00,2
5.812463e-01,3.471203e+24,8.531679e+00,2
5.812463e-01,3.471203e+24,1.000000e+01,2
6.266937e-01,3.742615e+24,1.000000e-01,2
6.266937e-01,3.742615e+24,1.172102e-01,2
6.266937e-01,3.742615e+24,1.373824e-01,2
6.266937e-01,3.742615e+24,1.610262e-01,2
6.266937e-01,3.742615e+24,1.887392e-01,2
6.266937e-01,3.742615e+24,2.212216e-01,2
6.266937e-01,3.742615e+24,2.592944e-01,2
6.266937e-01,3.742615e+24,3.039195e-01,2
6.266937e-01,3.742615e+24,3.562248e-01,2
6.266937e-01,3.742615e+24,4.175319e-01,2
6.266937e-01,3.742615e+24,4.893901e-01,2
6.266937e-01,3.742615e+24,5.736153e-01,2
6.266937e-01,3.742615e+24,6.723358e-01,2
6.266937e-01,3.742615e+24,7.880463e-01,2
6.266937e-01,3.742615e+24,9.236709e-01,2
6.266937e-01,3.742615e+24,1.000000e+00,2
6.266937e-01,3.742615e+24,1.082637e+00,2
6.266937e-01,3.742615e+24,1.268961e+00,2
6.266937e-01,3.742615e+24,1.487352e+00,2
6.266937e-01,3.742615e+24,1.743329e+00,2
6.266937e-01,3.742615e+24,2.043360e+00,2
6.266937e-01,3.742615e+24,2.395027e+00,2
6.266937e-01,3.742615e+24,2.807216e+00,2
6.266937e-01,3.742615e+24,3.290345e+00,2
6.266937e-01,3.742615e+24,3.856620e+00,2
6.266937e-01,3.742615e+24,4.520354e+00,2
6.266937e-01,3.742615e+24,5.298317e+00,2
6.266937e-01,3.742615e+24,6.210169e+00,2
6.266937e-01,3.742615e+24,7.278954e+00,2
6.266937e-01,3.742615e+24,8.531679e+00,2
6.266937e-01,3.742615e+24,1.000000e+01,2
6.756945e-01,4.035248e+24,1.000000e-01,2
6.756945e-01,4.035248e+24,1.172102e-01,2
6.756945e-01,4.035248e+24,1.373824e-01,2
6.756945e-01,4.035248e+24,1.610262e-01,2
6.756945e-01,4.035248e+24,1.887392e-01,2
6.756945e-01,4.035248e+24,2.212216e-01,2
6.756945e-01,4.035248e+24,2.592944e-01,2
6.756945e-01,4.035248e+24,3.039195e-01,2
6.756945e-01,4.035248e+24,3.562248e-01,2
6.756945e-01,4.035248e+24,4.175319e-01,2
6.756945e-01,4.035248e+24,4.893901e-01,2
6.756945e-01,4.035248e+24,5.736153e-01,2
6.756945e-01,4.035248e+24,6.723358e-01,2
6.756945e-01,4.035248e+24,7.880463e-01,2
6.756945e-01,4.035248e+24,9.236709e-01,2
6.756945e-01,4.035248e+24,1.000000e+00,2
6.756945e-01,4.035248e+24,1.082637e+00,2
6.756945e-01,4.035248e+24,1.268961e+00,2
6.756945e-01,4.035248e+24,1.487352e+00,2
6.756945e-01,4.035248e+24,1.743329e+00,2
6.756945e-01,4.035248e+24,2.043360e+00,2
6.756945e-01,4.035248e+24,2.395027e+00,2
6.756945e-01,4.035248e+24,2.807216e+00,2
6.756945e-01,4.035248e+24,3.290345e+00,2
6.756945e-01,4.035248e+24,3.856620e+00,2
6.756945e-01,4.035248e+24,4.520354e+00,2
6.756945e-01,4.035248e+24,5.298317e+00,2
6.756945e-01,4.035248e+24,6.210169e+00,2
6.756945e-01,4.035248e+24,7.278954e+00,2
6.756945e-01,4.035248e+24,8.531679e+00,2
6.756945e-01,4.035248e+24,1.000000e+01,2
7.285268e-01,4.350762e+24,1.000000e-01,2
7.285268e-01,4.350762e+24,1.172102e-01,2
7.285268e-01,4.350762e+24,1.373824e-01,2
7.285268e-01,4.350762e+24,1.610262e-01,2
7.285268e-01,4.350762e+24,1.887392e-01,2
7.285268e-01,4.350762e+24,2.212216e-01,2
7.285268e-01,4.350762e+24,2.592944e-01,2
7.285268e-01,4.350762e+24,3.039195e-01,2
7.285268e-01,4.350762e+24,3.562248e-01,2
7.285268e-01,4.350762e+24,4.175319e-01,2
7.285268e-01,4.350762e+24,4.893901e-01,2
7.285268e-01,4.350762e+24,5.736153e-01,2
7.285268e-01,4.350762e+24,6.723358e-01,2
7.285268e-01,4.350762e+24,7.880463e-01,2
7.285268e-01,4.350762e+24,9.236709e-01,2
7.285268e-01,4.350762e+24,1.000000e+00,2
7.285268e-01,4.350762e+24,1.082637e+00,2
7.285268e-01,4.350762e+24,1.268961e+00,2
7.285268e-01,4.350762e+24,1.487352e+00,2
7.285268e-01,4.350762e+24,1.743329e+00,2
7.285268e-01,4.350762e+24,2.043360e+00,2
7.285268e-01,4.350762e+24,2.395027e+00,2
7.285268e-01,4.350762e+24,2.807216e+00,2
7.285268e-01,4.350762e+24,3.290345e+00,2
7.285268e-01,4.350762e+24,3.856620e+00,2
7.285268e-01,4.350762e+24,4.520354e+00,2
7.285268e-01,4.350762e+24,5.298317e+00,2
7.285268e-01,4.350762e+24,6.210169e+00,2
7.285268e-01,4.350762e+24,7.278954e+00,2
7.285268e-01,4.350762e+24,8.531679e+00,2
7.285268e-01,4.350762e+24,1.000000e+01,2
7.854899e-01,4.690946e+24,1.000000e-01,2
7.854899e-01,4.690946e+24,1.172102e-01,2
7.854899e-01,4.690946e+24,1.373824e-01,2
7.854899e-01,4.690946e+24,1.610262e-01,2
7.854899e-01,4.690946e+24,1.887392e-01,2
7.854899e-01,4.690946e+24,2.212216e-01,2
7.854899e-01,4.690946e+24,2.592944e-01,2
7.854899e-01,4.690946e+24,3.039195e-01,2
7.854899e-01,4.690946e+24,3.562248e-01,2
7.854899e-01,4.690946e+24,4.175319e-01,2
7.854899e-01,4.690946e+24,4.893901e-01,2
7.854899e-01,4.690946e+24,5.736153e-01,2
7.854899e-01,4.690946e+24,6.723358e-01,2
7.854899e-01,4.690946e+24,7.880463e-01,2
7.854899e-01,4.690946e+24,9.236709e-01,2
7.854899e-01,4.690946e+24,1.000000e+00,2
7.854899e-01,4.690946e+24,1.082637e+00,2
7.854899e-01,4.690946e+24,1.268961e+00,2
7.854899e-01,4.690946e+24,1.487352e+00,2
7.854899e-01,4.690946e+24,1.743329e+00,2
7.854899e-01,4.690946e+24,2.043360e+00,2
7.854899e-01,4.690946e+24,2.395027e+00,2
7.854899e-01,4.690946e+24,2.807216e+00,2
7.854899e-01,4.690946e+24,3.290345e+00,2
7.854899e-01,4.690946e+24,3.856620e+00,2
7.854899e-01,4.690946e+24,4.520354e+00,2
7.854899e-01,4.690946e+24,5.298317e+00,2
7.854899e-01,4.690946e+24,6.210169e+00,2
7.854899e-01,4.690946e+24,7.278954e+00,2
7.854899e-01,4.690946e+24,8.531679e+00,2
7.854899e-01,4.690946e+24,1.000000e+01,2
8.469070e-01,5.057729e+24,1.000000e-01,2
8.469070e-01,5.057729e+24,1.172102e-01,2
8.469070e-01,5.057729e+24,1.373824e-01,2
8.469070e-01,5.057729e+24,1.610262e-01,2
8.469070e-01,5.057729e+24,1.887392e-01,2
8.469070e-01,5.057729e+24,2.212216e-01,2
8.469070e-01,5.057729e+24,2.592944e-01,2
8.469070e-01,5.057729e+24,3.039195e-01,2
8.469070e-01,5.057729e+24,3.562248e-01,2
8.469070e-01,5.057729e+24,4.175319e-01,2
8.469070e-01,5.057729e+24,4.893901e-01,2
8.469070e-01,5.057729e+24,5.736153e-01,2
8.469070e-01,5.057729e+24,6.723358e-01,2
8.469070e-01,5.057729e+24,7.880463e-01,2
8.469070e-01,5.057729e+24,9.236709e-01,2
8.469070e-01,5.057729e+24,1.000000e+00,2
8.469070e-01,5.057729e+24,1.082637e+00,2
8.469070e-01,5.057729e+24,1.268961e+00,2
8.469070e-01,5.057729e+24,1.487352e+00,2
8.469070e-01,5.057729e+24,1.743329e+00,2
8.469070e-01,5.057729e+24,2.043360e+00,2
8.469070e-01,5.057729e+24,2.395027e+00,2
8.469070e-01,5.057729e+24,2.807216e+00,2
8.469070e-01,5.057729e+24,3.290345e+00,2
8.469070e-01,5.057729e+24,3.856620e+00,2
8.469070e-01,5.057729e+24,4.520354e+00,2
8.469070e-01,5.057729e+24,5.298317e+00,2
8.469070e-01,5.057729e+24,6.210169e+00,2
8.469070e-01,5.057729e+24,7.278954e+00,2
8.469070e-01,5.057729e+24,8.531679e+00,2
8.469070e-01,5.057729e+24,1.000000e+01,2
9.131262e-01,5.453190e+24,1.000000e-01,2
9.131262e-01,5.453190e+24,1.172102e-01,2
9.131262e-01,5.453190e+24,1.373824e-01,2
9.131262e-01,5.453190e+24,1.610262e-01,2
9.131262e-01,5.453190e+24,1.887392e-01,2
9.131262e-01,5.453190e+24,2.212216e-01,2
9.131262e-01,5.453190e+24,2.592944e-01,2
9.131262e-01,5.453190e+24,3.039195e-01,2
9.131262e-01,5.453190e+24,3.562248e-01,2
9.131262e-01,5.453190e+24,4.175319e-01,2
9.131262e-01,5.453190e+24,4.893901e-01,2
9.131262e-01,5.453190e+24,5.736153e-01,2
9.131262e-01,5.453190e+24,6.723358e-01,2
9.131262e-01,5.453190e+24,7.880463e-01,2
9.131262e-01,5.453190e+24,9.236709e-01,2
9.131262e-01,5.453190e+24,1.000000e+00,2
9.131262e-01,5.453190e+24,1.082637e+00,2
9.131262e-01,5.453190e+24,1.268961e+00,2
9.131262e-01,5.453190e+24,1.487352e+00,2
9.131262e-01,5.453190e+24,1.743329e+00,2
9.131262e-01,5.453190e+24,2.043360e+00,2
9.131262e-01,5.453190e+24,2.395027e+00,2
9.131262e-01,5.453190e+24,2.807216e+00,2
9.131262e-01,5.453190e+24,3.290345e+00,2
9.131262e-01,5.453190e+24,3.856620e+00,2
9.131262e-01,5.453190e+24,4.520354e+00,2
9.131262e-01,5.453190e+24,5.298317e+00,2
9.131262e-01,5.453190e+24,6.210169e+00,2
9.131262e-01,5.453190e+24,7.278954e+00,2
9.131262e-01,5.453190e+24,8.531679e+00,2
9.131262e-01,5.453190e+24,1.000000e+01,2
9.845231e-01,5.879572e+24,1.000000e-01,2
9.845231e-01,5.879572e+24,1.172102e-01,2
9.845231e-01,5.879572e+24,1.373824e-01,2
9.845231e-01,5.879572e+24,1.610262e-01,2
9.845231e-01,5.879572e+24,1.887392e-01,2
9.845231e-01,5.879572e+24,2.212216e-01,2
9.845231e-01,5.879572e+24,2.592944e-01,2
9.845231e-01,5.879572e+24,3.039195e-01,2
9.845231e-01,5.879572e+24,3.562248e-01,2
9.845231e-01,5.879572e+24,4.175319e-01,2
9.845231e-01,5.879572e+24,4.893901e-01,2
9.845231e-01,5.879572e+24,5.736153e-01,2
9.845231e-01,5.879572e+24,6.723358e-01,2
9.845231e-01,5.879572e+24,7.880463e-01,2
9.845231e-01,5.879572e+24,9.236709e-01,2
9.845231e-01,5.879572e+24,1.000000e+00,2
9.845231e-01,5.879572e+24,1.082637e+00,2
9.845231e-01,5.879572e+24,1.268961e+00,2
9.845231e-01,5.879572e+24,1.487352e+00,2
9.845231e-01,5.879572e+24,1.743329e+00,2
9.845231e-01,5.879572e+24,2.043360e+00,2
9.845231e-01,5.879572e+24,2.395027e+00,2
9.845231e-01,5.879572e+24,2.807216e+00,2
9.845231e-01,5.879572e+24,3.290345e+00,2
9.845231e-01,5.879572e+24,3.856620e+00,2
9.845231e-01,5.879572e+24,4.520354e+00,2
9.845231e-01,5.879572e+24,5.298317e+00,2
9.845231e-01,5.879572e+24,6.210169e+00,2
9.845231e-01,5.879572e+24,7.278954e+00,2
9.845231e-01,5.879572e+24,8.531679e+00,2
9.845231e-01,5.879572e+24,1.000000e+01,2
1.061503e+00,6.339293e+24,1.000000e-01,2
1.061503e+00,6.339293e+24,1.172102e-01,2
1.061503e+00,6.339293e+24,1.373824e-01,2
1.061503e+00,6.339293e+24,1.610262e-01,2
1.061503e+00,6.339293e+24,1.887392e-01,2
1.061503e+00,6.339293e+24,2.212216e-01,2
1.061503e+00,6.339293e+24,2.592944e-01,2
1.061503e+00,6.339293e+24,3.039195e-01,2
1.061503e+00,6.339293e+24,3.562248e-01,2
1.061503e+00,6.339293e+24,4.175319e-01,2
1.061503e+00,6.339293e+24,4.893901e-01,2
1.061503e+00,6.339293e+24,5.736153e-01,2
1.061503e+00,6.339293e+24,6.723358e-01,2
1.061503e+00,6.339293e+24,7.880463e-01,2
1.061503e+00,6.339293e+24,9.236709e-01,2
1.061503e+00,6.339293e+24,1.000000e+00,2
1.061503e+00,6.339293e+24,1.082637e+00,2
1.061503e+00,6.339293e+24,1.268961e+00,2
1.061503e+00,6.339293e+24,1.487352e+00,2
1.061503e+00,6.339293e+24,1.743329e+00,2
1.061503e+00,6.339293e+24,2.043360e+00,2
1.061503e+00,6.339293e+24,2.395027e+00,2
1.061503e+00,6.339293e+24,2.807216e+00,2
1.061503e+00,6.339293e+24,3.290345e+00,2
1.061503e+00,6.339293e+24,3.856620e+00,2
1.061503e+00,6.339293e+24,4.520354e+00,2
1.061503e+00,6.339293e+24,5.298317e+00,2
1.061503e+00,6.339293e+24,6.210169e+00,2
1.061503e+00,6.339293e+24,7.278954e+00,2
1.061503e+00,6.339293e+24,8.531679e+00,2
1.061503e+00,6.339293e+24,1.000000e+01,2
1.144501e+00,6.834959e+24,1.000000e-01,2
1.144501e+00,6.834959e+24,1.172102e-01,2
1.144501e+00,6.834959e+24,1.373824e-01,2
1.144501e+00,6.834959e+24,1.610262e-01,2
1.144501e+00,6.834959e+24,1.887392e-01,2
1.144501e+00,6.834959e+24,2.212216e-01,2
1.144501e+00,6.834959e+24,2.592944e-01,2
1.144501e+00,6.834959e+24,3.039195e-01,2
1.144501e+00,6.834959e+24,3.562248e-01,2
1.144501e+00,6.834959e+24,4.175319e-01,2
1.144501e+00,6.834959e+24,4.893901e-01,2
1.144501e+00,6.834959e+24,5.736153e-01,2
1.144501e+00,6.834959e+24,6.723358e-01,2
1.144501e+00,6.834959e+24,7.880463e-01,2
1.144501e+00,6.834959e+24,9.236709e-01,2
1.144501e+00,6.834959e+24,1.000000e+00,2
1.144501e+00,6.834959e+24,1.082637e+00,2
1.144501e+00,6.834959e+24,1.268961e+00,2
1.144501e+00,6.834959e+24,1.487352e+00,2
1.144501e+00,6.834959e+24,1.743329e+00,2
1.144501e+00,6.834959e+24,2.043360e+00,2
1.144501e+00,6.834959e+24,2.395027e+00,2
1.144501e+00,6.834959e+24,2.807216e+00,2
1.144501e+00,6.834959e+24,3.290345e+00,2
1.144501e+00,6.834959e+24,3.856620e+00,2
1.144501e+00,6.834959e+24,4.520354e+00,2
1.144501e+00,6.834959e+24,5.298317e+00,2
1.144501e+00,6.834959e+24,6.210169e+00,2
1.144501e+00,6.834959e+24,7.278954e+00,2
1.144501e+00,6.834959e+24,8.531679e+00,2
1.144501e+00,6.834959e+24,1.000000e+01,2
1.233989e+00,7.369381e+24,1.000000e-01,2
1.233989e+00,7.369381e+24,1.172102e-01,2
1.233989e+00,7.369381e+24,1.373824e-01,2
1.233989e+00,7.369381e+24,1.610262e-01,2
1.233989e+00,7.369381e+24,1.887392e-01,2
1.233989e+00,7.369381e+24,2.212216e-01,2
1.233989e+00,7.369381e+24,2.592944e-01,2
1.233989e+00,7.369381e+24,3.039195e-01,2
1.233989e+00,7.369381e+24,3.562248e-01,2
1.233989e+00,7.369381e+24,4.175319e-01,2
1.233989e+00,7.369381e+24,4.893901e-01,2
1.233989e+00,7.369381e+24,5.736153e-01,2
1.233989e+00,7.369381e+24,6.723358e-01,2
1.233989e+00,7.369381e+24,7.880463e-01,2
1.233989e+00,7.369381e+24,9.236709e-01,2
1.233989e+00,7.369381e+24,1.000000e+00,2
